INSTANCE: MO4

TOTAL GENERATION IS: 250

-------------------------------------------------------------------------------------------------------------------------

ROUND 1:
Generation, best, average, variance, time(s)
0 7427.94057 9466.200667699999 822815.5959740375 0.003566741943359375
1 3542.9697699999997 8790.382198899999 1005266.0365160544 0.008810043334960938
2 2334.3124900000003 7459.145984699999 4231132.250210655 0.013643741607666016
3 1816.8030600000002 6084.267000600001 6211437.657171661 0.018237829208374023
4 1777.47966 4991.7746239 5656972.8840993205 0.022731781005859375
5 1721.3015799999998 4270.2001097 5451826.822654868 0.026970863342285156
6 1543.4533099999999 3427.0764832000004 3990956.120315941 0.031189918518066406
7 1509.3011000000001 2987.257743100001 3611711.0389528004 0.03538179397583008
8 1509.3011000000001 2637.2591121 2639169.269835494 0.03960871696472168
9 1509.3011000000001 2376.4761628000006 1896057.415359774 0.04387187957763672
10 1509.3011000000001 2186.834476000001 1333486.5837258853 0.047792911529541016
11 1499.1060400000001 2059.4802295 1097769.4347695764 0.05167675018310547
12 1499.1060400000001 1993.0865237000003 958682.6689777024 0.055583953857421875
13 1474.89028 1884.1942643 716912.4221739355 0.05954790115356445
14 1474.89028 1768.9595166999998 507021.41975376784 0.06364870071411133
15 1474.89028 1707.6778628 415645.9868044567 0.06754207611083984
16 1442.23643 1673.0947636 395321.60625337256 0.07137775421142578
17 1442.23643 1617.7248066 222557.73531631983 0.075225830078125
18 1442.23643 1576.4012662 200751.07742876196 0.0792226791381836
19 1442.23643 1535.5553548999999 35913.055174901696 0.08313584327697754
20 1442.23643 1509.0866426 17754.739477927596 0.08705592155456543
21 1442.23643 1494.9246590999996 13553.548376294137 0.09093976020812988
22 1442.23643 1496.3851489999997 15786.53415802116 0.09508180618286133
23 1442.23643 1497.7344882999998 14243.29697362268 0.09920167922973633
24 1442.23643 1493.3786963 14007.691097771421 0.1031496524810791
25 1442.23643 1485.8626133999999 13654.148108124406 0.1071927547454834
26 1442.23643 1484.3481705 11948.187236416268 0.11121273040771484
27 1442.23643 1478.9116975999998 8657.882079530014 0.11535167694091797
28 1442.23643 1474.7173947 10286.992364125932 0.11929774284362793
29 1442.23643 1472.744981 10554.823843817958 0.12318682670593262
30 1442.23643 1474.0746759999997 8173.072834109754 0.12712597846984863
31 1442.23643 1471.3314392 7912.122442087948 0.1309528350830078
32 1442.23643 1472.0662176 7221.752129068924 0.13483071327209473
33 1442.23643 1467.8248569999998 6724.194196417595 0.1387310028076172
34 1442.23643 1463.4039949999997 2799.339143952819 0.14252686500549316
35 1442.23643 1474.8151736999996 5099.751474405038 0.1464087963104248
36 1442.23643 1463.2467797999998 2048.6460792202656 0.15023064613342285
37 1442.23643 1459.7245068000002 1847.8641460810102 0.1542196273803711
38 1442.23643 1460.5121229999995 2188.667298990904 0.15824580192565918
39 1442.23643 1458.8461169999998 2382.567736765401 0.1621708869934082
40 1442.23643 1462.7113309 3093.240366105755 0.16619086265563965
41 1442.23643 1466.0966772 3410.6576277142685 0.17001986503601074
42 1442.23643 1468.3648231999998 4646.566686298132 0.17378568649291992
43 1442.23643 1465.6536769 3284.061208301533 0.17770600318908691
44 1442.23643 1463.9614681999997 2109.571787708849 0.1816718578338623
45 1442.23643 1460.6817786999995 1888.2609513281943 0.18565988540649414
46 1442.23643 1459.0432352 1945.2974012721147 0.18963885307312012
47 1442.23643 1455.5518316999996 1644.177787416102 0.19374895095825195
48 1442.23643 1460.9310613999999 2405.322588362664 0.19751572608947754
49 1442.23643 1460.7363097999998 2228.8204445506403 0.20134186744689941
50 1442.23643 1457.9805680000002 1795.6442290497473 0.20519495010375977
51 1442.23643 1460.8984361999997 2555.0904346604275 0.20899271965026855
52 1442.23643 1456.9723699999997 2175.2521228318565 0.21276497840881348
53 1442.23643 1462.9378783999998 2580.828670932186 0.21657681465148926
54 1442.23643 1463.9086551999999 2459.826271385221 0.22034096717834473
55 1442.23643 1467.5029693999998 3202.675911748889 0.2242896556854248
56 1442.23643 1472.6562769999998 3489.143978763224 0.22829961776733398
57 1442.23643 1463.0406180999998 2675.0988983266407 0.2323169708251953
58 1442.23643 1459.6963646999998 2500.2871417332412 0.23615169525146484
59 1442.23643 1460.5864018 2714.725920946975 0.2398989200592041
60 1442.23643 1463.3317189999996 2804.728499282349 0.24365782737731934
61 1442.23643 1469.4419696999998 3538.9681758776624 0.24753379821777344
62 1442.23643 1465.2980682999998 3400.4536150324416 0.25139570236206055
63 1442.23643 1463.7243712999998 2438.233030115015 0.2552189826965332
64 1442.23643 1461.0173963999998 1731.3490640311895 0.25915980339050293
65 1442.23643 1457.6460788999998 1947.7818311266724 0.26315760612487793
66 1442.23643 1464.8348085 2812.6319499847978 0.2671527862548828
67 1442.23643 1454.8537649999998 1408.9976927191406 0.2710459232330322
68 1442.23643 1458.6059922999996 2135.4421871607656 0.27490687370300293
69 1442.23643 1460.5093392999997 1934.0444233480216 0.27876996994018555
70 1442.23643 1463.5678056 2077.9401482556455 0.2826199531555176
71 1442.23643 1461.8804809999995 2101.2183528308196 0.28642773628234863
72 1442.23643 1461.9811581 2021.5021595129697 0.29018688201904297
73 1442.23643 1465.7084850999997 2627.600312876594 0.29401278495788574
74 1442.23643 1461.6013658 1889.0012776525202 0.29778575897216797
75 1442.23643 1460.6362882999995 1873.687859800311 0.3017096519470215
76 1442.23643 1463.9525397999998 2253.348413023565 0.3056919574737549
77 1442.23643 1463.3458033999998 2350.2324533501405 0.3095698356628418
78 1442.23643 1473.7372413999997 4104.8309025559 0.3133246898651123
79 1442.23643 1461.5631548999997 2208.032073226386 0.3172297477722168
80 1442.23643 1460.1427860000001 1844.9783208868685 0.32108187675476074
81 1442.23643 1461.4896346 1815.6183557983518 0.3249847888946533
82 1442.23643 1462.0760386 1793.251101040382 0.32898569107055664
83 1442.23643 1463.3234046 2020.6209123062467 0.3329129219055176
84 1442.23643 1461.3363123 2140.8558453369774 0.33681488037109375
85 1442.23643 1462.9649501 2082.9386103169786 0.34070396423339844
86 1442.23643 1460.7649198 1704.6706401251017 0.3446228504180908
87 1442.23643 1459.1347217 1550.8711196927575 0.3484528064727783
88 1442.23643 1452.8315875 1009.7069377744078 0.35235095024108887
89 1442.23643 1459.6709173999998 1885.3650621197887 0.356151819229126
90 1442.23643 1460.7542836 1886.883498491266 0.36006665229797363
91 1442.23643 1454.8221693999994 1179.9563064632262 0.3639857769012451
92 1442.23643 1455.7882337 1314.4369596892461 0.36794590950012207
93 1442.23643 1457.9777536 1686.0453709217193 0.37186384201049805
94 1442.23643 1457.7376257999997 1877.394178941108 0.37578582763671875
95 1442.23643 1459.9585111 2109.6956631106614 0.37975382804870605
96 1442.23643 1459.6522362 2662.961226021036 0.38358092308044434
97 1442.23643 1452.3802531 1072.3431019456887 0.3874239921569824
98 1442.23643 1463.2612396999998 2603.483951623897 0.39123988151550293
99 1442.23643 1459.5003929999998 2438.931973077305 0.395108699798584
100 1442.23643 1456.7180144 1642.9736162373829 0.3989980220794678
101 1442.23643 1463.9289642999997 1951.249425821505 0.4027976989746094
102 1442.23643 1462.5728071999997 1838.8701425396355 0.4066438674926758
103 1442.23643 1461.3221727999999 1825.7766407049742 0.4104888439178467
104 1442.23643 1462.8518695999999 2074.627456342321 0.4144148826599121
105 1442.23643 1468.8138153999998 2690.4416886042904 0.4182548522949219
106 1442.23643 1464.2085806999996 2199.0829598358155 0.4221477508544922
107 1442.23643 1460.6502694999997 2035.5162383247534 0.42590975761413574
108 1442.23643 1468.7016247 2994.5473586341914 0.4297318458557129
109 1442.23643 1459.5897784999997 2342.940567632061 0.43351197242736816
110 1442.23643 1454.8407382999999 1816.0209286868915 0.4372749328613281
111 1442.23643 1461.2036383999998 2470.410659045366 0.44106602668762207
112 1442.23643 1460.4703836 2016.3437398647702 0.44509387016296387
113 1442.23643 1458.0386257 1675.4751344523827 0.44925689697265625
114 1442.23643 1453.4946701999997 1338.4583637946582 0.4534108638763428
115 1442.23643 1454.3320438999997 986.6607711748381 0.4574308395385742
116 1442.23643 1453.6443368999999 894.4391447190385 0.461406946182251
117 1442.23643 1456.4857971999998 1402.4293380005277 0.46523284912109375
118 1442.23643 1455.6305509 1226.9438177227782 0.4690549373626709
119 1442.23643 1458.0926133999997 2316.190181534476 0.47287678718566895
120 1442.23643 1467.7222924999996 2779.45711072573 0.4766688346862793
121 1442.23643 1466.5548993999996 3253.597879538478 0.4805738925933838
122 1442.23643 1456.1280054999997 1314.7712438986998 0.48444271087646484
123 1442.23643 1453.6183963 1071.5047729084567 0.48833179473876953
