INSTANCE: MP4

TOTAL GENERATION IS: 250

-------------------------------------------------------------------------------------------------------------------------

ROUND 1:
Generation, best, average, variance, time(s)
0 9223372036854775807 38430.38921539998 8049164.040882924 1.5400030612945557
1 7946.098570000001 36216.651305149986 18248773.47861475 4.03617000579834
2 4524.612599999999 30102.098290499987 110763318.69663614 6.141957759857178
3 3456.2956100000006 24328.805862799996 153133195.42273322 8.085070133209229
4 3442.3914800000016 22334.229130649994 164841053.23729613 9.982367992401123
5 3413.9923400000016 20278.971775549995 164261441.6503746 11.83367919921875
6 3211.06671 20028.360985749994 159950226.23514983 13.676421880722046
7 3211.06671 19107.182238549995 152225682.69696662 15.505189180374146
8 3211.06671 18421.060072449996 163944650.91544855 17.326240062713623
9 3092.66085 18919.644812349994 162212112.47319177 19.158181190490723
10 3085.6419600000017 16953.39656935 138564560.2917416 20.961146116256714
11 3034.5957199999984 17973.024992549996 142406828.57165134 22.768100023269653
12 3034.5957199999984 18999.407708249997 153654079.0650721 24.606494903564453
13 3034.5957199999984 19243.165068849994 162754342.9204817 26.48253893852234
14 3034.5957199999984 18531.461125349997 150090244.0788431 28.311140060424805
15 3034.5957199999984 19143.303060099995 155075244.138797 30.147119998931885
16 3034.5957199999984 19563.264572349995 159575897.23869354 31.997851848602295
17 3015.717019999999 19647.996414149995 167017022.08457878 33.85089683532715
18 3015.717019999999 19449.732114 158275443.2727988 35.701411962509155
19 3015.717019999999 19190.258458599998 176501810.15464506 37.550363063812256
20 3015.717019999999 18288.581780649998 170126924.44065434 39.36658716201782
21 2996.47387 17718.759994399996 148729141.9633696 41.178345918655396
22 2996.47387 18985.603568799994 158883038.12247983 43.019728899002075
23 2963.1578500000005 19601.036200549992 172951252.9979048 44.87002110481262
24 2938.75002 18671.977202099995 166960213.98511592 46.70931601524353
25 2938.75002 20258.875849999997 153396879.122043 48.57964205741882
26 2938.75002 17544.456100949996 136481175.42369485 50.39905309677124
27 2938.75002 17055.043809549996 131753616.38998468 52.21349501609802
28 2938.75002 18572.860071549996 139617062.56842843 54.052764892578125
29 2938.75002 18453.368622449994 147685893.55252403 55.89338183403015
30 2938.75002 19115.248884449993 159051673.1607644 57.74144411087036
31 2938.75002 17596.009576599998 145463018.69976372 59.55696415901184
32 2938.75002 16993.474135199995 153385540.92393973 61.36788821220398
33 2938.75002 16872.201434749997 164204905.07797223 63.16968488693237
34 2938.75002 16712.167109099995 149073218.54383308 64.96412706375122
35 2938.75002 18638.7798609 157210154.72479272 66.7983410358429
36 2938.75002 18455.584410949996 147597405.36412266 68.63779711723328
37 2938.75002 19313.152610499998 159495986.84325263 70.4983069896698
38 2938.75002 19046.662626749996 162272414.95037925 72.34987378120422
39 2938.75002 19355.518885099995 151445695.57403615 74.20741987228394
40 2938.75002 18879.8479766 155527368.54263377 76.05378723144531
41 2938.75002 19177.880231299998 147436437.4255575 77.9077079296112
42 2938.75002 18290.737365599995 150641097.65523076 79.73709011077881
43 2938.75002 17632.578234899996 148794114.2595373 81.556645154953
44 2938.75002 18155.757762649995 164013159.11816534 83.43123197555542
45 2938.75002 18246.312395699995 149471440.14839807 85.32504391670227
46 2938.75002 18490.520878649993 163336420.3711882 87.18278288841248
47 2938.75002 18114.410978649994 155078789.6418221 89.01603412628174
48 2938.75002 18991.672908249995 136269076.1560193 90.8579797744751
49 2938.75002 19237.441257399994 147869839.19088897 92.70504713058472
50 2938.75002 19147.236966749995 145183385.7673544 94.560054063797
51 2938.75002 18093.975349949997 145908623.6304082 96.38191509246826
52 2938.75002 19428.1710516 150466281.94896245 98.2454469203949
53 2938.75002 18879.8379999 149097931.74925092 100.09754395484924
54 2938.75002 16111.209440249997 142506270.44241297 101.88787293434143
55 2938.75002 16825.10931505 157853677.6443132 103.6919059753418
56 2938.75002 17429.149247699996 147204978.8257117 105.50525212287903
57 2938.75002 17912.028450299997 142772154.0664275 107.34082293510437
58 2938.75002 18230.155192899994 142515715.66855565 109.16978883743286
59 2938.75002 17521.557760399995 149671948.28290656 110.99327993392944
60 2938.75002 17267.643759249997 152335174.1534794 112.81598114967346
61 2938.75002 17739.129079599996 154033041.75306243 114.64106297492981
62 2938.75002 17993.339402399994 147125136.36255828 116.47422885894775
63 2938.75002 16678.048765 139144237.64554092 118.27776098251343
64 2938.75002 17728.844406049997 147171930.9692078 120.09546899795532
65 2938.75002 18234.381257399997 160517504.59472862 121.92493319511414
66 2938.75002 17570.491384449993 144036239.51009598 123.75417017936707
67 2938.75002 17228.730481449995 147714779.55402339 125.56052708625793
68 2938.75002 17646.303612749994 152332372.74239364 127.37799191474915
69 2938.75002 17216.783192099996 147823204.33733672 129.18439078330994
70 2938.75002 17132.27421145 160627595.52848157 130.99639701843262
71 2938.75002 17363.693095349994 142638110.55435216 132.8085000514984
72 2938.75002 18276.681269399996 142952447.14671463 134.66816687583923
73 2938.75002 18795.758293099996 144953465.3838692 136.71050691604614
74 2938.75002 17356.913520999995 147423700.8709234 138.5811049938202
75 2938.75002 16568.682128749995 141104891.57215554 140.42343497276306
76 2938.75002 16830.209126699996 151108908.30059955 142.2614710330963
77 2938.75002 17851.002579949996 149964335.79759324 144.11806893348694
78 2938.75002 17789.406229849996 160627621.45759892 145.98490595817566
79 2938.75002 17897.135771649995 143384690.1813039 147.8438630104065
80 2938.75002 17090.871933549995 144222072.04953918 149.70419096946716
81 2938.75002 17142.039364599994 143520786.3618333 151.54909586906433
