INSTANCE: MQ3

TOTAL GENERATION IS: 250

-------------------------------------------------------------------------------------------------------------------------

ROUND 1:
Generation, best, average, variance, time(s)
0 71353.33306 86138.54264706666 26208921.89377171 0.027837038040161133
1 29538.11922 82798.91596073334 51006283.24983129 0.07253694534301758
2 14898.59311 68336.03012416667 397378690.11991924 0.10663104057312012
3 7904.7173999999995 55233.10668713334 610180268.9541636 0.13443303108215332
4 5635.99456 42046.42874916666 635610018.7466036 0.15782499313354492
5 4581.25545 32393.9920871 590881816.4206976 0.17844080924987793
6 4581.25545 25421.410384500003 529041903.12236524 0.19719791412353516
7 4581.25545 20028.876347733334 388179708.5141524 0.2147989273071289
8 4580.21778 16291.732183933333 301673591.0866973 0.23136186599731445
9 4411.9719700000005 13375.226224333333 223405074.25261062 0.24690508842468262
10 4411.9719700000005 10740.173704033332 146342503.6131487 0.26223087310791016
11 4411.9719700000005 9153.9425557 104341519.175655 0.2767767906188965
12 4312.62664 8232.569303233335 89765235.76512294 0.2912938594818115
13 4312.62664 7416.520227000001 70112786.6759852 0.3056371212005615
14 4312.62664 6623.262413600001 51471364.72381595 0.3195199966430664
15 4312.62664 5691.649446633334 25669039.040727366 0.3332531452178955
16 4312.62664 5334.053287233333 18528761.60629866 0.34688401222229004
17 4312.62664 5080.295588666667 9833852.69672753 0.3606560230255127
18 4275.43167 4813.347472766667 7224656.929148162 0.3739590644836426
19 4275.43167 4568.106407666667 2237556.4376615486 0.38785505294799805
20 4275.43167 4482.260027233334 1134068.3770666877 0.40143609046936035
21 4275.43167 4445.217757333333 1023295.0774427897 0.4147920608520508
22 4275.43167 4393.6087296 601964.5807097172 0.4283308982849121
23 4275.43167 4384.438582066667 589955.3822498879 0.4417850971221924
24 4275.43167 4369.251505633333 551750.3126631689 0.4552428722381592
25 4275.43167 4362.064414166665 549978.4510454648 0.46888113021850586
26 4275.43167 4325.344227566667 69086.65415652897 0.4825608730316162
27 4275.43167 4318.4471256 30662.14838538196 0.4960439205169678
28 4275.43167 4308.297027433333 11619.370763029161 0.5097699165344238
